Semana Exporta‡Æo;Date*ÿÿ;Due dateÿÿ;Week*ÿÿ;Cardÿÿ;Teamÿÿ;Boardÿÿ;Listÿÿ;Labelsÿÿ;Sÿÿ;E 1??ÿÿ;Eÿÿ;Rÿÿ;cf:Desvio;cf:Equipamento;cf:Mantis;cf:NÆo Planejado;cf:Observa‡Æo;cf:Reprova‡äes
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;EVU08;Team Software;SW - Sprint Semanal;W32;SUPORTE;5;5;5;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;EVU08;Team Software;SW - Sprint Semanal;W32;SUPORTE;4;4;4;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAGA;Team Software;SW - Sprint Semanal;W32;ANµLISE;1;1;1;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;ESO16AD3;Team Software;SW - Sprint Semanal;W32;INSÿÿSUP;3,58;1,47;3,58;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IADT;Team Software;SW - Sprint Semanal;W32;G5ÿÿLIBÿÿR00ÿÿV01;0,64;1;1;0,36;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IADT;Team Software;SW - Sprint Semanal;W32;C05ÿÿR00ÿÿTABÿÿV01;1;1;1;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IADT;Team Software;SW - Sprint Semanal;W32;C05ÿÿDEVÿÿR00ÿÿV01;4,5;2;4,5;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAGA;Team Software;SW - Sprint Semanal;W32;G5ÿÿINSÿÿR01ÿÿV02;7,47;3;7,47;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IACO04;Team Software;SW - Sprint Semanal;W32;C09ÿÿR02ÿÿV02;11,34;4;11,34;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAFI05;Team Software;SW - Sprint Semanal;W32;ESTUDO;0,4;1,5;1,5;1,1;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAFI05;Team Software;SW - Sprint Semanal;W32;R00ÿÿSUPÿÿTELÿÿV01;1,38;2;2;0,62;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IADT;Team Software;SW - Sprint Semanal;W32;G5ÿÿLIBÿÿR01ÿÿV01;1;1;1;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IADT;Team Software;SW - Sprint Semanal;W32;ESTUDO;2,58;2;2;-0,58;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAFP;Team Software;SW - Sprint Semanal;W32;ADM;1;1;1;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAFP;Team Software;SW - Sprint Semanal;W32;ESTUDO;1;1;1;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IAFP;Team Software;SW - Sprint Semanal;W32;LIBÿÿR00ÿÿSUPÿÿV01;3;3;3;0;;;;;;
2019 ? Sem 33 ? Software;43686;43685;2019-W32;IAFP;Team Software;SW - Sprint Semanal;W32;R01ÿÿSUPÿÿTELÿÿV01;3,2;2,5;4;0,8;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IACX;Team Software;SW - Sprint Semanal;W32;G5ÿÿINSÿÿR01ÿÿV01;1,06;1;1,06;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;H360LEAN;Team Software;SW - Sprint Semanal;W32;ADM;2,3;2,3;2,3;0;;;;;;
2019 ? Sem 33 ? Software;43686;ÿ;2019-W32;IACX;Team Software;SW - Sprint Semanal;W32;G5ÿÿLIBÿÿR02ÿÿV01;1,65;0,7;1,7;0,05;;;;;;
